Date,Open,High,Low,Close,Adj Close,Volume
2019-01-24,66.610001,66.760002,62.930000,64.739998,57.462444,29719800
2019-01-25,67.029999,67.690002,66.099998,67.089996,59.548275,21885800
2019-01-28,66.190002,66.959999,65.910004,66.900002,59.379635,11537700
2019-01-29,67.000000,67.500000,66.199997,67.040001,59.503902,10703400
2019-01-30,67.110001,68.209999,67.050003,68.150002,60.489120,11702500
2019-01-31,68.180000,69.489998,67.080002,68.139999,60.480244,24233300
2019-02-01,68.589996,69.320000,68.000000,68.110001,60.453621,10309200
2019-02-04,68.029999,68.110001,67.080002,67.580002,59.983189,13562400
2019-02-05,67.760002,69.410004,67.639999,69.339996,61.545334,12781600
2019-02-06,69.230003,69.389999,68.500000,68.849998,61.429344,10283400
2019-02-07,68.599998,69.209999,68.480003,69.139999,61.688084,10109200
2019-02-08,68.769997,69.820000,68.599998,69.750000,62.232353,8862000
2019-02-11,70.000000,70.470001,69.849998,69.989998,62.446487,9229700
2019-02-12,70.239998,70.459999,69.709999,69.750000,62.232353,8848900
2019-02-13,69.809998,70.599998,69.800003,70.510002,62.910431,10264000
2019-02-14,70.129997,71.540001,69.970001,70.839996,63.204872,9441100
2019-02-15,71.150002,71.370003,70.190002,70.709999,63.088879,13924600
2019-02-19,70.459999,70.599998,69.779999,70.199997,62.633846,9208400
2019-02-20,70.230003,70.599998,70.050003,70.389999,62.803371,9671800
2019-02-21,70.139999,70.930000,70.139999,70.699997,63.079952,10933500
2019-02-22,70.760002,71.389999,70.750000,71.300003,63.615299,11311600
2019-02-25,71.900002,72.070000,70.980003,71.050003,63.392235,12071200
2019-02-26,71.000000,71.449997,70.919998,71.139999,63.472542,12302300
2019-02-27,70.830002,71.129997,69.919998,70.150002,62.589245,13274800
2019-02-28,70.139999,70.489998,69.779999,70.260002,62.687401,18956700
2019-03-01,70.629997,71.110001,70.449997,70.849998,63.213799,8067700
2019-03-04,70.989998,71.349998,70.370003,70.949997,63.303020,9219700
2019-03-05,71.190002,71.889999,71.059998,71.580002,63.865112,10496100
2019-03-06,71.809998,72.180000,71.160004,71.269997,63.588520,7666100
2019-03-07,71.199997,71.360001,70.459999,70.610001,62.999676,7814700
2019-03-08,70.150002,70.269997,69.029999,69.360001,61.884384,12363900
2019-03-11,69.379997,70.010002,69.139999,69.680000,62.169899,11518300
2019-03-12,69.739998,70.580002,69.690002,70.050003,62.500008,12751700
2019-03-13,70.089996,70.900002,69.980003,70.099998,62.544621,13798600
2019-03-14,70.190002,70.889999,70.190002,70.739998,63.115646,9249200
2019-03-15,70.800003,71.209999,70.540001,70.669998,63.053192,13096900
2019-03-18,70.779999,71.120003,70.440002,70.839996,63.204872,5682400
2019-03-19,70.949997,71.699997,70.870003,71.379997,63.686653,7810700
2019-03-20,71.800003,72.400002,71.339996,71.629997,63.909718,9512400
2019-03-21,71.320000,72.440002,71.320000,72.260002,64.471832,8044400
2019-03-22,72.050003,72.410004,71.690002,71.959999,64.204178,8022800
2019-03-25,72.000000,72.480003,71.730003,72.300003,64.507515,6453800
2019-03-26,72.720001,73.190002,72.330002,72.959999,65.096390,7624000
2019-03-27,72.940002,73.260002,72.620003,72.739998,64.900070,7662700
2019-03-28,72.970001,73.980003,72.889999,73.959999,65.988602,6709600
2019-03-29,74.010002,74.480003,73.529999,74.339996,66.327644,9099500
2019-04-01,74.760002,74.930000,73.730003,73.959999,65.988602,8108400
2019-04-02,74.010002,74.449997,73.839996,74.269997,66.265190,5520900
2019-04-03,74.559998,74.779999,73.870003,74.330002,66.318726,6755600
2019-04-04,74.500000,74.669998,73.980003,74.349998,66.336586,5449800
2019-04-05,74.349998,75.080002,74.349998,75.029999,66.943283,5346200
2019-04-08,74.470001,75.300003,74.470001,75.199997,67.094955,5140400
2019-04-09,74.870003,75.230003,74.800003,75.120003,67.023567,4905800
2019-04-10,75.209999,75.820000,75.209999,75.480003,67.344780,6066300
2019-04-11,75.750000,76.070000,75.650002,75.870003,67.692734,6042600
2019-04-12,76.099998,76.949997,76.070000,76.650002,68.388672,5194800
2019-04-15,76.669998,76.699997,76.080002,76.160004,67.951485,7632200
2019-04-16,76.480003,76.559998,75.360001,75.699997,67.541061,8336600
2019-04-17,75.610001,75.959999,74.800003,75.120003,67.023567,9439000
2019-04-18,75.480003,76.260002,75.209999,76.059998,67.862259,6607800
2019-04-22,75.709999,76.059998,75.209999,75.400002,67.273399,4883100
2019-04-23,75.480003,76.059998,75.410004,75.989998,67.799789,5273900
2019-04-24,76.050003,76.879997,75.910004,76.389999,68.156685,9347300
2019-04-25,76.110001,77.230003,75.949997,77.110001,68.799103,11084500
2019-04-26,76.949997,77.519997,75.059998,77.449997,69.102440,12550500
2019-04-29,77.300003,77.669998,76.589996,76.910004,68.620651,5426800
2019-04-30,77.000000,77.790001,76.690002,77.680000,69.307655,7384400
2019-05-01,77.669998,78.150002,77.370003,77.519997,69.164894,6678000
2019-05-02,77.660004,77.760002,76.750000,77.470001,69.120293,6247500
2019-05-03,77.589996,78.400002,77.339996,78.050003,69.637779,4967900
2019-05-06,77.199997,78.080002,77.019997,78.059998,69.646690,5607500
2019-05-07,77.570000,78.739998,77.419998,77.959999,69.557472,8115800
